BinaryHeap,LinkedList,PriorityQueue
0.000999,0.000999,0
0,0.000999,0.001
0.000999,0,0
0.000999,0.000999,0
0,0.000999,0.000996
0.000999,0.000999,0
0.001,0.000999,0
0.000998,0.001,0
0,0.000999,0.001
0.000984,0.000999,0
0.001013,0.000999,0
0,0.000999,0
0.000999,0.000999,0.001001
0.000999,0,0
0,0.000999,0
0.000985,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000988
0.001013,0.001,0
0.000999,0.000999,0
0,0.001006,0
0.000999,0.000992,0.001005
0.000985,0.001,0
0.000999,0.000999,0
0.001998,0,0.001004
0,0.000999,0
0.001013,0.001,0
0.000984,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.001,0
0.000999,0.000999,0
0.001016,0.000999,0
0.000982,0.000999,0.001
0.000999,0.000999,0
0.000999,0.000999,0
0,0,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.001996,0
0.000999,0,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0.000999,0,0
0.000999,0.000999,0
0,0.000999,0.000999
0.001001,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.001998,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0.000999,0,0
0,0.001001,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.001
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000998
0.001,0,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.001
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.001,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.001998,0
0.001,0.000999,0
0.000999,0.000999,0
0.000999,0.001998,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0.001,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000998,0.000999,0
0.001,0.000999,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.00102
0,0.000999,0
0.000999,0.000999,0
0.000999,0,0
0,0.000999,0.000983
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.001,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0,0
0.000999,0.001,0
0.000999,0.000999,0.000994
0.001,0.000999,0
0,0.000999,0
0.000999,0.000998,0
0.000999,0.001,0.000999
0,0.000999,0
0.000999,0.001,0
0.000999,0.000999,0
0,0.000999,0.001
0.000999,0.000999,0
0.000999,0.000999,0
0,0.001,0
0.000999,0.000998,0.000998
0.000999,0.000999,0
0,0.000999,0
0.000999,0.001,0.000999
0.001,0.000999,0
0,0.000998,0
0.000999,0.000999,0
0.000999,0,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000998
0,0.000999,0
0.000999,0.000998,0
0.000999,0.000999,0.001004
0,0.000999,0
0.000999,0,0
0.000999,0.000999,0
0,0.000999,0.000995
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000987
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0,0
0.000999,0.000999,0
0,0.001998,0.000999
0.000999,0,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.001,0.000999,0
0,0.000999,0
0.000998,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.001012,0
0,0.000999,0.000999
0.000999,0,0
0.000999,0.000998,0
0,0.001,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.001002,0
0.000999,0.001,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.000999,0,0
0.000999,0.001,0
0,0.000999,0
0.000999,0.000999,0.000998
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.001,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000998,0.001,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.001011
0.000999,0.000999,0
0.000999,0.000999,0.000988
0,0.000999,0
0.000999,0.001,0
0.000999,0.000983,0.000998
0,0.000999,0
0.001,0.000999,0
0.000998,0.000999,0
0.000999,0.000999,0.000999
0,0,0
0.000999,0.000999,0
0.000998,0.000999,0
0,0.000999,0.000999
0.001,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.001015
0.000999,0.000999,0
0.000991,0.000999,0
0.000998,0.000999,0
0.001,0.000999,0.001
0.000999,0.000999,0
0,0.000999,0
0.000999,0,0
0.000999,0.000999,0.000994
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.001,0.000999,0
0.000998,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000998,0.001,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000998
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.001,0.000999,0.001
0.000999,0.000999,0
0,0.000999,0
0.000999,0.001,0
0.001,0.000998,0
0,0.001998,0.000998
0.000999,0.000999,0
0.000999,0.001017,0
0,0.001982,0
0.000999,0.000999,0.001
0.000999,0.001002,0
0,0.000995,0
0.000999,0.001,0.000999
0.000999,0.000998,0
0,0.000999,0
0.000999,0.001999,0
0.000998,0.000999,0.000999
0.001,0.000998,0
0,0.001001,0
0.000999,0.000998,0.000999
0.000999,0.001,0
0,0.000999,0
0.000999,0.001998,0.000997
0.000999,0.000999,0
0,0.000999,0
0.000999,0,0
0.000999,0.001999,0.000999
0,0.000998,0
0.000998,0.000999,0
0.001,0.000999,0
0,0,0.000998
0.000999,0.000999,0
0.000999,0.001998,0
0.001002,0.000999,0
0,0.001001,0.001
0.000996,0.000999,0
0.000999,0.000999,0
0,0.001015,0
0.000999,0.000997,0.000999
0.000999,0.000985,0
0,0.001015,0
0.000999,0.000994,0
0.000999,0.000998,0.000999
0.000999,0.000989,0
0,0.001013,0
0.000999,0.000984,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.001001,0
0.000999,0.001009,0
0.001006,0.001,0.000999
0,0.000999,0
0.000992,0.000999,0
0.000999,0.000999,0
0,0.000999,0.001001
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000987,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0.001998,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000988
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0,0.000999
0.000999,0.000999,0
0.001005,0.000999,0
0,0.000999,0
0.000993,0.000999,0.001014
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.001,0.000999,0
0.000999,0.000999,0.000999
0.001,0.000999,0
0,0,0
0.000999,0.000999,0.000998
0.001,0.000999,0
0.000998,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.001,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0.000983
0.001,0.000999,0
0,0.000999,0
0.000998,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.001015
0.000999,0,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.001998,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0,0
0.001007,0.000999,0.000999
0.000991,0.000999,0
0,0.001998,0
0.000999,0,0
0.000999,0.000998,0.000999
0.000999,0.000999,0
0.001002,0.000999,0
0,0.000999,0
0.000996,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000995
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.001,0,0.000999
0,0.000999,0
0.000998,0.000999,0
0.000999,0.001007,0
0.000999,0.000991,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000987
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0,0
0.001,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.001,0,0.000999
0.000998,0.000999,0
0,0.000999,0
0.001,0.000999,0
0.000999,0.000999,0.000999
0,0.000999,0
0.000999,0.000999,0
0.000999,0.000999,0
0,0.001,0.000999
0.000999,0.000999,0
0.000999,0.000999,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0,0
0,0.000999,0
0.000999,0.000999,0.000999
0.000999,0.000999,0
0,0.000999,0
0.000999,0.00101,0
0.000999,0.000999,0.000999
0.000460648,0.00031248,0.000438603
